#OTU ID	Br1	Br2	Br3	Br4	Br5	Br6	Br7	Br8	Br9	Br10	Br11	Br12	Br13	Br14	Br15	Br16	Br17	Br18	Br19	Br20	Br21	Br22	Br23	Br24	Br25	Br26	Br27	Br28	Br29	Br30	Br31	Br32	Br33	Br34	Br35	Br36	Br37	Br38	Br39	Br40	Br41	Br42	Br43	Br44	Br45	Br46	Br47	Br48	Br49	Br50	Br51	Br52	Br53	Br54	Br55	Br56	Br57	Br58	Br59	Br60	Br61	Br62	Br63	Br64	Br65	Br66	Br67	Br68	Br69	Br70	Br71	Br72	Br73	Br74	Br75	Br76	Br77	Br78	Br79	Br80	Br81	Br82	Br83	Br84	Br85	Br86	Br87	Br88	Nr1	NR2	Nr3	Nr4	Nr5	Nr6	Nr7	Nr8	Nr9	Nr10	Nr11	Nr12	Nr13	Nr14	Nr15	Nr16	Nr17	Nr18	Nr19	Nr20	Nr21	Nr22	Nr23	Nr24	Nr25	Nr26
Zotu22	545	0	504	0	638	0	0	630	880	1587	497	562	1357	0	0	0	0	661	501	660	729	0	913	516	0	877	437	595	0	717	0	462	458	821	720	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	479	0	0	0	0	0	0	0	601	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu23	0	861	0	0	0	0	0	468	0	498	1424	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	411	999	0	418	0	0	0	401	581	0	4599	4450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3068	0	1163	0	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1579	2560	5378	677	3745	2622	3587	0	3644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1855	0	1587	0	0	0	436	0	0	0	0	0	0	720	0	0	0	631	0	0	0	0	1148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	586	0	0	0	0	0	0	0	665	1307	0	841	1022	1221	1862	0	0	799	720	703	1018	631	0
Zotu26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	409	0	0	0	0	0	0	594	1878	0	0	912	2255	0	0	1157	0	0	0	0	0	1884	0	418	0	0	0	0	0	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	681	0	2167	0	1962	1467	1136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu27	498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	1029	0	0	0	0	0	0	519	0	0	475	0	0	0	0	0	0	455	397	941	0	0	0	0	0	0	0	0	2697	1089	451	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	1334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	937	0	0	0	0	1691	957	1501	1566	1705	0
Zotu28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921	964	2225	1618	1804	2668	2109	1844	1590	865	0	0	0	0	0	0	0	0	0	1273	1676	414	0	570	0	0
Zotu29	0	0	0	0	0	0	0	0	0	0	0	0	995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	419	365	0	0	0	0	0	521	0	0	0	1418	0	0	0	0	0	0	0	1023	0	0	3844	1369	0	0	0	0	0	0	0	0	406	0	456	1317	777	0	0	440	0	0	3049	0	0	0	0	0	427	0	0	0	0	0	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013	0	3288	0	1084	0	0	0	0	523	0	0	0	0	0	0	0	807	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0	0	716	0	628	1193	0	1379	1540	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0
Zotu31	756	0	456	814	371	0	0	0	365	479	497	348	718	0	0	0	479	557	0	473	426	0	553	294	0	0	601	0	0	469	0	483	391	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	297	0	0	0	0	321	0	363	0	415	0	0	0	0	0	0	384	0	0	0	0	0	0	0	0	0	0	0	295	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1119	636	1214	1078	1331	992	1433	1172	1229	583	0	0	0	0	0	0	0	0	0	1195	1292	350	0	689	0	0
Zotu33	400	578	0	504	0	0	0	322	248	0	475	438	0	0	0	249	575	246	0	965	0	327	239	284	0	0	383	747	545	375	457	0	372	0	437	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	296	0	0	321	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	384	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
